Date,Score Over Par
2020-11-17 15:43,10
2020-11-21 10:35,10
2020-11-21 12:50,7
2020-11-26 14:18,13
2020-11-28 14:45,6
2021-01-23 15:16,5
1/30/2021 13:17,1
