Date,Score Over Par
2020-11-17 15:43,4
2020-11-21 10:35,22
2020-11-21 12:50,8
2020-11-26 14:18,22
2020-11-28 14:45,10
2021-01-07 13:12,5
2021-01-09 15:28,10
2021-01-19 16:34,7
2021-01-23 15:16,9
1/30/2021 13:17,24
