Date,Score Over Par
2020-11-17 15:43,12
2020-11-21 10:35,24
2020-11-21 12:50,7
2020-11-26 14:18,25
2020-11-28 14:45,11
2021-01-07 13:12,15
2021-01-09 15:28,19
2021-01-19 16:34,7
2021-01-23 15:16,11
1/30/2021 13:17,26
