PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Fort Gordon,Army Airforce,2021-02-24 16:54,59,,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3
Discer,Fort Gordon,Army Airforce,2021-02-24 16:54,64,5,3,5,4,5,3,4,3,5,3,3,4,4,4,3,3,2,3,3
Joe,Fort Gordon,Army Airforce,2021-02-24 16:54,68,9,4,4,5,5,3,3,3,6,4,4,4,3,4,3,5,2,4,2
Liam,Fort Gordon,Army Airforce,2021-02-24 16:54,65,6,4,5,3,5,6,3,2,5,3,2,4,4,3,3,3,3,4,3
Reed,Fort Gordon,Army Airforce,2021-02-24 16:54,69,10,3,5,3,6,4,3,2,6,3,3,4,4,3,5,5,3,3,4
