PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Army,Custom,2021-01-09 15:28,56,,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Wes,Army,Custom,2021-01-09 15:28,75,19,4,5,4,6,3,5,3,4,4,4,4,4,3,5,4,4,6,3
Sophie,Army,Custom,2021-01-09 15:28,92,36,5,6,4,8,5,4,6,7,3,4,6,6,4,5,4,3,7,5
Discer,Army,Custom,2021-01-09 15:28,66,10,3,4,3,5,4,3,4,4,4,4,6,3,3,3,3,4,3,3
Kyle,Army,Custom,2021-01-09 15:28,80,24,4,5,4,6,4,4,5,5,4,3,6,4,6,4,4,3,6,3
Liam,Army,Custom,2021-01-09 15:28,34,7,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,3,6,3
Chloe,Army,Custom,2021-01-09 15:28,95,39,4,6,4,8,5,4,4,7,5,5,5,6,4,7,4,4,7,6
