PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Patriot's Park,New Patriots,2020-11-28 14:45,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
Nick,Patriot's Park,New Patriots,2020-11-28 14:45,79,24,3,6,5,3,5,5,5,4,4,5,6,3,4,5,5,4,4,3
Joe,Patriot's Park,New Patriots,2020-11-28 14:45,61,6,3,4,5,4,3,4,3,3,3,3,4,3,3,3,3,3,4,3
Wes,Patriot's Park,New Patriots,2020-11-28 14:45,66,11,3,3,4,4,3,4,3,3,3,5,5,4,3,3,4,3,5,4
Liam,Patriot's Park,New Patriots,2020-11-28 14:45,67,12,3,5,3,3,3,3,5,3,4,4,4,4,4,3,4,4,5,3
Discer,Patriot's Park,New Patriots,2020-11-28 14:45,65,10,4,3,3,3,5,3,2,3,5,4,4,3,3,5,4,3,5,3
