PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Army Air force,Custom,2021-02-09 16:37,59,,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3
Liam,Army Air force,Custom,2021-02-09 16:37,66,7,3,5,3,5,4,4,3,5,3,3,3,4,3,3,5,2,4,4
Wes,Army Air force,Custom,2021-02-09 16:37,64,5,3,4,5,4,4,3,3,5,4,3,4,3,3,3,3,3,3,4
Joe,Army Air force,Custom,2021-02-09 16:37,68,9,3,8,4,5,3,3,3,4,3,2,5,4,3,3,5,3,4,3
Noah,Army Air force,Custom,2021-02-09 16:37,66,7,3,5,4,6,4,3,3,4,3,3,5,4,3,4,3,3,3,3
Andres,Army Air force,Custom,2021-02-09 16:37,76,17,4,6,5,6,4,4,4,6,4,3,6,4,3,4,3,3,4,3
Sam,Army Air force,Custom,2021-02-09 16:37,65,6,4,5,4,5,3,3,3,6,3,3,3,4,3,3,3,3,4,3
Reed,Army Air force,Custom,2021-02-09 16:37,74,15,5,6,5,6,3,4,3,4,4,3,5,5,4,3,3,3,4,4
