PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Marine & Navy,Custom,1/30/2021 13:17,70,,6,4,6,6,3,3,5,3,3,3,4,3,3,5,3,3,4,3,5,6
Discer,Marine & Navy,Custom,1/30/2021 13:17,91,24,6,5,8,7,4,2,6,4,5,4,6,2,4,7,4,6,6,5,6,8
Joe,Marine & Navy,Custom,1/30/2021 13:17,71,1,6,4,7,6,4,2,4,4,4,3,4,2,3,5,2,4,3,4,4,7
Liam,Marine & Navy,Custom,1/30/2021 13:17,87,18,7,5,9,6,4,4,6,5,4,4,5,3,4,5,3,3,5,5,5,7
Wes,Marine & Navy,Custom,1/30/2021 13:17,94,26,8,6,7,6,4,3,6,4,4,3,7,3,4,7,4,5,8,5,5,8
Noah,Marine & Navy,Custom,1/30/2021 13:17,103,35,6,7,10,9,4,4,6,5,4,4,6,4,4,5,3,5,7,10,5,8
Sam,Marine & Navy,Custom,1/30/2021 13:17,94,28,6,5,7,7,4,4,7,4,6,4,7,3,5,7,6,3,5,4,8,7
