PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Army Air Force,Custom,2021-02-08 16:27,58,,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,2,3,3
Discer,Army Air Force,Custom,2021-02-08 16:27,63,5,3,5,5,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3
Joe,Army Air Force,Custom,2021-02-08 16:27,67,9,3,4,4,6,3,3,5,3,3,5,4,4,3,4,3,3,4,3
Liam,Army Air Force,Custom,2021-02-08 16:27,66,8,3,4,4,5,4,2,3,6,3,4,4,4,3,3,4,2,5,3
Wes,Army Air Force,Custom,2021-02-08 16:27,67,9,5,5,4,4,3,3,3,5,3,3,4,3,3,4,3,3,6,3
Andres,Army Air Force,Custom,2021-02-08 16:27,83,25,6,7,7,5,5,5,3,7,4,4,4,4,3,4,4,3,4,4
