PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Army & Air Force,Custom,2020-11-17 15:43,56,,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
Joe,Army & Air Force,Custom,2020-11-17 15:43,66,10,3,5,3,4,4,3,3,4,4,5,4,3,3,3,3,4,4,4
Wes,Army & Air Force,Custom,2020-11-17 15:43,68,12,3,6,5,5,3,3,3,5,3,5,5,3,3,3,3,2,5,3
Discer,Army & Air Force,Custom,2020-11-17 15:43,60,4,3,5,4,4,3,3,3,3,4,3,4,3,3,4,3,2,3,3
Liam,Army & Air Force,Custom,2020-11-17 15:43,64,8,3,6,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3
