PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,IDGC,IDGC Super Short Tees,2020-11-21 10:35,65,,4,3,4,3,3,3,4,4,5,3,4,4,5,3,3,3,3,4
Wes,IDGC,IDGC Super Short Tees,2020-11-21 10:35,89,24,7,3,7,4,5,3,8,4,6,6,6,4,5,3,5,3,5,5
Joe,IDGC,IDGC Super Short Tees,2020-11-21 10:35,75,10,5,2,5,3,5,3,4,4,6,4,5,4,6,3,4,3,3,6
Reed,IDGC,IDGC Super Short Tees,2020-11-21 10:35,92,27,6,4,6,4,7,5,6,7,6,5,7,3,4,4,5,5,4,4
Liam,IDGC,IDGC Super Short Tees,2020-11-21 10:35,85,20,5,3,5,3,5,4,7,4,6,4,7,3,5,3,6,5,4,6
Discer,IDGC,IDGC Super Short Tees,2020-11-21 10:35,87,22,7,3,7,3,5,4,5,6,6,3,6,5,4,4,4,5,4,6
