PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Patriot's Park,New Patriots,2021-01-07 13:12,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
Liam,Patriot's Park,New Patriots,2021-01-07 13:12,70,15,5,5,4,3,4,4,3,3,4,6,4,3,4,3,3,4,4,4
Wes,Patriot's Park,New Patriots,2021-01-07 13:12,70,15,5,4,3,4,4,4,3,3,4,4,3,3,4,3,4,6,5,4
Discer,Patriot's Park,New Patriots,2021-01-07 13:12,60,5,3,3,2,3,4,4,3,2,3,4,4,4,4,3,4,3,3,4
Chloe,Patriot's Park,New Patriots,2021-01-07 13:12,99,44,5,6,7,6,6,5,6,5,5,6,6,5,4,3,8,6,6,4
