PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Fort Gordon,Army Airforce,2021-02-25 16:27,59,,3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3
Discer,Fort Gordon,Army Airforce,2021-02-25 16:27,68,9,3,4,3,5,3,4,3,6,5,4,5,3,4,3,4,2,4,3
Joe,Fort Gordon,Army Airforce,2021-02-25 16:27,68,9,4,5,4,5,4,3,4,5,4,4,4,3,4,3,3,3,3,3
Liam,Fort Gordon,Army Airforce,2021-02-25 16:27,65,6,3,4,3,5,4,3,4,8,3,4,4,3,3,3,3,2,4,2
Wes,Fort Gordon,Army Airforce,2021-02-25 16:27,63,4,3,4,4,6,3,3,2,4,3,3,4,3,3,4,4,2,4,4
Kyle,Fort Gordon,Army Airforce,2021-02-25 16:27,69,10,3,5,4,5,4,4,4,5,3,3,5,4,3,3,4,3,4,3
