PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Army Air Force,Custom,2021-01-23 15:16,58,,3,4,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3
Discer,Army Air Force,Custom,2021-01-23 15:16,67,9,3,6,4,7,3,4,3,3,4,3,3,3,3,3,4,3,4,4
Liam,Army Air Force,Custom,2021-01-23 15:16,71,13,3,4,4,6,5,4,4,4,4,4,4,3,5,4,3,3,4,3
Wes,Army Air Force,Custom,2021-01-23 15:16,69,11,4,5,5,5,4,3,2,5,3,3,4,3,4,5,3,3,4,4
Joe,Army Air Force,Custom,2021-01-23 15:16,63,5,3,3,3,5,4,4,2,4,3,4,4,5,3,3,4,3,5,1
